dept_id,hospital_id,hospital_name,department_name,description,floor,block,head_doctor,contact_ext,opd_timings,beds_allocated,is_active
DEPT0088,HOSP009,St. John's Hospital,Cardiology,Heart & cardiovascular care,6,A,Dr. Ravi Nair,605,Mon-Sat 9:00 AM – 5:00 PM,48,True
DEPT0089,HOSP009,St. John's Hospital,Neurology,Brain & nervous system disorders,5,B,Dr. Kavita Sharma,957,Mon-Sat 9:00 AM – 5:00 PM,62,True
DEPT0090,HOSP009,St. John's Hospital,Anesthesiology,Surgical anesthesia & pain management,3,D,Dr. Priya Patel,141,Mon-Sat 9:00 AM – 5:00 PM,22,True
DEPT0091,HOSP009,St. John's Hospital,Pulmonology,Lung & respiratory care,4,B,Dr. Arun Sharma,631,Mon-Sat 9:00 AM – 5:00 PM,55,True
DEPT0092,HOSP009,St. John's Hospital,Urology,Urinary tract & kidney care,1,B,Dr. Arun Patel,539,Mon-Sat 9:00 AM – 5:00 PM,35,True
DEPT0093,HOSP009,St. John's Hospital,Gynecology,Women's health & maternity,6,A,Dr. Priya Nair,941,Mon-Sat 9:00 AM – 5:00 PM,52,True
DEPT0094,HOSP009,St. John's Hospital,ENT,"Ear, nose & throat care",2,B,Dr. Rajesh Iyer,149,Mon-Sat 9:00 AM – 5:00 PM,52,True
DEPT0095,HOSP010,NIMHANS,Gastroenterology,Digestive system disorders,1,D,Dr. Ravi Patel,459,Mon-Sat 9:00 AM – 5:00 PM,19,True
DEPT0096,HOSP010,NIMHANS,Neurology,Brain & nervous system disorders,1,C,Dr. Rajesh Patel,624,Mon-Sat 9:00 AM – 5:00 PM,51,True
DEPT0097,HOSP010,NIMHANS,Oncology,Cancer diagnosis & treatment,4,D,Dr. Suresh Reddy,213,Mon-Sat 9:00 AM – 5:00 PM,56,True
DEPT0098,HOSP010,NIMHANS,Rheumatology,Arthritis & autoimmune care,5,A,Dr. Arun Singh,330,Mon-Sat 9:00 AM – 5:00 PM,60,True
DEPT0099,HOSP010,NIMHANS,Orthopedics,"Bone, joint & muscle care",3,C,Dr. Meena Singh,466,Mon-Sat 9:00 AM – 5:00 PM,10,True
DEPT0100,HOSP010,NIMHANS,Pulmonology,Lung & respiratory care,5,D,Dr. Anita Iyer,271,Mon-Sat 9:00 AM – 5:00 PM,68,True
DEPT0101,HOSP011,Victoria Hospital,Neurology,Brain & nervous system disorders,5,D,Dr. Priya Patel,159,Mon-Sat 9:00 AM – 5:00 PM,14,True
DEPT0102,HOSP011,Victoria Hospital,Orthopedics,"Bone, joint & muscle care",4,B,Dr. Arun Kumar,161,Mon-Sat 9:00 AM – 5:00 PM,29,True
DEPT0103,HOSP011,Victoria Hospital,Gynecology,Women's health & maternity,6,D,Dr. Anita Reddy,121,Mon-Sat 9:00 AM – 5:00 PM,63,True
DEPT0104,HOSP011,Victoria Hospital,Urology,Urinary tract & kidney care,3,B,Dr. Ravi Sharma,252,Mon-Sat 9:00 AM – 5:00 PM,62,True
DEPT0105,HOSP011,Victoria Hospital,Oncology,Cancer diagnosis & treatment,6,B,Dr. Kavita Kumar,920,Mon-Sat 9:00 AM – 5:00 PM,76,True
DEPT0106,HOSP011,Victoria Hospital,Pediatrics,Child health & development,2,A,Dr. Priya Rao,601,Mon-Sat 9:00 AM – 5:00 PM,44,True
DEPT0107,HOSP011,Victoria Hospital,Gastroenterology,Digestive system disorders,3,B,Dr. Rajesh Sharma,102,Mon-Sat 9:00 AM – 5:00 PM,26,True
DEPT0108,HOSP011,Victoria Hospital,Pulmonology,Lung & respiratory care,4,C,Dr. Meena Sharma,892,Mon-Sat 9:00 AM – 5:00 PM,73,True
DEPT0109,HOSP011,Victoria Hospital,Psychiatry,Mental health & behavioral care,2,D,Dr. Rajesh Kumar,949,Mon-Sat 9:00 AM – 5:00 PM,49,True
DEPT0110,HOSP011,Victoria Hospital,Emergency Medicine,24/7 emergency & trauma care,5,A,Dr. Rajesh Sharma,576,Mon-Sat 9:00 AM – 5:00 PM,67,True
DEPT0111,HOSP011,Victoria Hospital,Cardiology,Heart & cardiovascular care,3,B,Dr. Kavita Rao,154,Mon-Sat 9:00 AM – 5:00 PM,18,True
DEPT0112,HOSP011,Victoria Hospital,Dermatology,"Skin, hair & nail care",4,A,Dr. Arun Nair,992,Mon-Sat 9:00 AM – 5:00 PM,34,True
DEPT0113,HOSP011,Victoria Hospital,Anesthesiology,Surgical anesthesia & pain management,1,C,Dr. Meena Singh,508,Mon-Sat 9:00 AM – 5:00 PM,30,True
DEPT0114,HOSP011,Victoria Hospital,ENT,"Ear, nose & throat care",1,D,Dr. Meena Nair,558,Mon-Sat 9:00 AM – 5:00 PM,23,True
DEPT0115,HOSP011,Victoria Hospital,Plastic Surgery,Reconstructive & cosmetic surgery,5,C,Dr. Suresh Singh,643,Mon-Sat 9:00 AM – 5:00 PM,39,True
DEPT0116,HOSP011,Victoria Hospital,Nephrology,Kidney disease management,3,B,Dr. Meena Iyer,179,Mon-Sat 9:00 AM – 5:00 PM,75,True
DEPT0117,HOSP011,Victoria Hospital,Radiology,Imaging & diagnostics,3,A,Dr. Rajesh Singh,356,Mon-Sat 9:00 AM – 5:00 PM,72,True
DEPT0118,HOSP012,Bowring & Lady Curzon Hospital,Plastic Surgery,Reconstructive & cosmetic surgery,1,D,Dr. Priya Singh,590,Mon-Sat 9:00 AM – 5:00 PM,74,True
DEPT0119,HOSP012,Bowring & Lady Curzon Hospital,Ophthalmology,Eye care & surgery,2,D,Dr. Meena Reddy,838,Mon-Sat 9:00 AM – 5:00 PM,55,True
DEPT0120,HOSP012,Bowring & Lady Curzon Hospital,Urology,Urinary tract & kidney care,5,D,Dr. Arun Kumar,803,Mon-Sat 9:00 AM – 5:00 PM,11,True
DEPT0121,HOSP012,Bowring & Lady Curzon Hospital,Endocrinology,Hormonal & metabolic disorders,3,B,Dr. Arun Nair,808,Mon-Sat 9:00 AM – 5:00 PM,62,True
DEPT0122,HOSP012,Bowring & Lady Curzon Hospital,Gastroenterology,Digestive system disorders,3,B,Dr. Meena Rao,504,Mon-Sat 9:00 AM – 5:00 PM,39,True
DEPT0123,HOSP012,Bowring & Lady Curzon Hospital,Gynecology,Women's health & maternity,4,C,Dr. Suresh Patel,345,Mon-Sat 9:00 AM – 5:00 PM,37,True
DEPT0124,HOSP012,Bowring & Lady Curzon Hospital,Neurology,Brain & nervous system disorders,4,B,Dr. Ravi Reddy,142,Mon-Sat 9:00 AM – 5:00 PM,67,True
DEPT0125,HOSP012,Bowring & Lady Curzon Hospital,Pediatrics,Child health & development,2,B,Dr. Arun Rao,143,Mon-Sat 9:00 AM – 5:00 PM,11,True
DEPT0126,HOSP012,Bowring & Lady Curzon Hospital,Nephrology,Kidney disease management,6,A,Dr. Ravi Kumar,426,Mon-Sat 9:00 AM – 5:00 PM,49,True
DEPT0127,HOSP012,Bowring & Lady Curzon Hospital,Oncology,Cancer diagnosis & treatment,4,D,Dr. Anita Kumar,716,Mon-Sat 9:00 AM – 5:00 PM,53,True
DEPT0128,HOSP012,Bowring & Lady Curzon Hospital,Psychiatry,Mental health & behavioral care,5,D,Dr. Rajesh Reddy,896,Mon-Sat 9:00 AM – 5:00 PM,31,True
DEPT0129,HOSP012,Bowring & Lady Curzon Hospital,Rheumatology,Arthritis & autoimmune care,3,D,Dr. Arun Singh,876,Mon-Sat 9:00 AM – 5:00 PM,66,True
DEPT0130,HOSP012,Bowring & Lady Curzon Hospital,Anesthesiology,Surgical anesthesia & pain management,3,A,Dr. Anita Reddy,500,Mon-Sat 9:00 AM – 5:00 PM,61,True
DEPT0131,HOSP012,Bowring & Lady Curzon Hospital,Orthopedics,"Bone, joint & muscle care",3,D,Dr. Suresh Kumar,654,Mon-Sat 9:00 AM – 5:00 PM,64,True
DEPT0132,HOSP012,Bowring & Lady Curzon Hospital,Radiology,Imaging & diagnostics,3,B,Dr. Suresh Patel,587,Mon-Sat 9:00 AM – 5:00 PM,65,True
DEPT0133,HOSP012,Bowring & Lady Curzon Hospital,Dermatology,"Skin, hair & nail care",2,A,Dr. Rajesh Reddy,344,Mon-Sat 9:00 AM – 5:00 PM,34,True
DEPT0134,HOSP012,Bowring & Lady Curzon Hospital,Emergency Medicine,24/7 emergency & trauma care,5,D,Dr. Priya Nair,389,Mon-Sat 9:00 AM – 5:00 PM,58,True
DEPT0135,HOSP013,Sparsh Hospital,Dermatology,"Skin, hair & nail care",3,A,Dr. Meena Nair,870,Mon-Sat 9:00 AM – 5:00 PM,55,True
DEPT0136,HOSP013,Sparsh Hospital,Rheumatology,Arthritis & autoimmune care,3,D,Dr. Priya Nair,900,Mon-Sat 9:00 AM – 5:00 PM,71,True
DEPT0137,HOSP013,Sparsh Hospital,Cardiology,Heart & cardiovascular care,3,D,Dr. Arun Sharma,397,Mon-Sat 9:00 AM – 5:00 PM,79,True
DEPT0138,HOSP013,Sparsh Hospital,Gastroenterology,Digestive system disorders,1,C,Dr. Suresh Patel,452,Mon-Sat 9:00 AM – 5:00 PM,34,True
DEPT0139,HOSP013,Sparsh Hospital,ENT,"Ear, nose & throat care",3,B,Dr. Suresh Nair,735,Mon-Sat 9:00 AM – 5:00 PM,45,True
DEPT0140,HOSP013,Sparsh Hospital,Psychiatry,Mental health & behavioral care,1,D,Dr. Suresh Reddy,582,Mon-Sat 9:00 AM – 5:00 PM,54,True
DEPT0141,HOSP013,Sparsh Hospital,Plastic Surgery,Reconstructive & cosmetic surgery,3,A,Dr. Arun Kumar,289,Mon-Sat 9:00 AM – 5:00 PM,58,True
DEPT0142,HOSP013,Sparsh Hospital,Emergency Medicine,24/7 emergency & trauma care,2,C,Dr. Suresh Patel,132,Mon-Sat 9:00 AM – 5:00 PM,23,True
DEPT0143,HOSP013,Sparsh Hospital,Radiology,Imaging & diagnostics,3,C,Dr. Rajesh Sharma,675,Mon-Sat 9:00 AM – 5:00 PM,72,True
DEPT0144,HOSP013,Sparsh Hospital,Gynecology,Women's health & maternity,6,C,Dr. Ravi Iyer,509,Mon-Sat 9:00 AM – 5:00 PM,27,True
DEPT0145,HOSP013,Sparsh Hospital,Orthopedics,"Bone, joint & muscle care",5,D,Dr. Rajesh Iyer,307,Mon-Sat 9:00 AM – 5:00 PM,11,True
DEPT0146,HOSP013,Sparsh Hospital,Anesthesiology,Surgical anesthesia & pain management,5,D,Dr. Ravi Singh,756,Mon-Sat 9:00 AM – 5:00 PM,25,True
DEPT0147,HOSP013,Sparsh Hospital,Ophthalmology,Eye care & surgery,2,A,Dr. Kavita Rao,203,Mon-Sat 9:00 AM – 5:00 PM,44,True
DEPT0148,HOSP013,Sparsh Hospital,Oncology,Cancer diagnosis & treatment,2,C,Dr. Suresh Kumar,816,Mon-Sat 9:00 AM – 5:00 PM,65,True
DEPT0149,HOSP013,Sparsh Hospital,Nephrology,Kidney disease management,4,A,Dr. Priya Kumar,705,Mon-Sat 9:00 AM – 5:00 PM,75,True
DEPT0150,HOSP013,Sparsh Hospital,Neurology,Brain & nervous system disorders,2,B,Dr. Suresh Patel,406,Mon-Sat 9:00 AM – 5:00 PM,52,True
DEPT0151,HOSP014,Cloudnine Hospital,Urology,Urinary tract & kidney care,6,B,Dr. Kavita Patel,855,Mon-Sat 9:00 AM – 5:00 PM,63,True
DEPT0152,HOSP014,Cloudnine Hospital,Plastic Surgery,Reconstructive & cosmetic surgery,1,C,Dr. Meena Patel,113,Mon-Sat 9:00 AM – 5:00 PM,66,True
DEPT0153,HOSP014,Cloudnine Hospital,Endocrinology,Hormonal & metabolic disorders,4,B,Dr. Ravi Nair,529,Mon-Sat 9:00 AM – 5:00 PM,60,True
DEPT0154,HOSP014,Cloudnine Hospital,Dermatology,"Skin, hair & nail care",4,B,Dr. Anita Reddy,818,Mon-Sat 9:00 AM – 5:00 PM,25,True
DEPT0155,HOSP014,Cloudnine Hospital,Anesthesiology,Surgical anesthesia & pain management,1,A,Dr. Suresh Iyer,557,Mon-Sat 9:00 AM – 5:00 PM,51,True
DEPT0156,HOSP014,Cloudnine Hospital,Emergency Medicine,24/7 emergency & trauma care,2,A,Dr. Rajesh Nair,292,Mon-Sat 9:00 AM – 5:00 PM,49,True
DEPT0157,HOSP014,Cloudnine Hospital,Gynecology,Women's health & maternity,5,D,Dr. Ravi Singh,763,Mon-Sat 9:00 AM – 5:00 PM,20,True
DEPT0158,HOSP014,Cloudnine Hospital,Radiology,Imaging & diagnostics,6,B,Dr. Anita Patel,483,Mon-Sat 9:00 AM – 5:00 PM,63,True
DEPT0159,HOSP015,Motherhood Hospital,Nephrology,Kidney disease management,6,C,Dr. Arun Singh,186,Mon-Sat 9:00 AM – 5:00 PM,60,True
DEPT0160,HOSP015,Motherhood Hospital,Anesthesiology,Surgical anesthesia & pain management,5,A,Dr. Priya Reddy,254,Mon-Sat 9:00 AM – 5:00 PM,18,True
DEPT0161,HOSP015,Motherhood Hospital,Ophthalmology,Eye care & surgery,3,A,Dr. Ravi Iyer,557,Mon-Sat 9:00 AM – 5:00 PM,70,True
DEPT0162,HOSP015,Motherhood Hospital,Endocrinology,Hormonal & metabolic disorders,3,A,Dr. Priya Sharma,185,Mon-Sat 9:00 AM – 5:00 PM,42,True
DEPT0163,HOSP015,Motherhood Hospital,Plastic Surgery,Reconstructive & cosmetic surgery,2,A,Dr. Priya Kumar,603,Mon-Sat 9:00 AM – 5:00 PM,24,True
DEPT0164,HOSP015,Motherhood Hospital,ENT,"Ear, nose & throat care",5,D,Dr. Rajesh Iyer,238,Mon-Sat 9:00 AM – 5:00 PM,47,True
DEPT0165,HOSP015,Motherhood Hospital,Psychiatry,Mental health & behavioral care,5,B,Dr. Kavita Reddy,549,Mon-Sat 9:00 AM – 5:00 PM,19,True
DEPT0166,HOSP015,Motherhood Hospital,Gynecology,Women's health & maternity,5,B,Dr. Arun Patel,913,Mon-Sat 9:00 AM – 5:00 PM,36,True
DEPT0167,HOSP015,Motherhood Hospital,Pulmonology,Lung & respiratory care,5,C,Dr. Kavita Sharma,909,Mon-Sat 9:00 AM – 5:00 PM,32,True
DEPT0168,HOSP015,Motherhood Hospital,Gastroenterology,Digestive system disorders,6,C,Dr. Kavita Kumar,760,Mon-Sat 9:00 AM – 5:00 PM,27,True
DEPT0169,HOSP015,Motherhood Hospital,Emergency Medicine,24/7 emergency & trauma care,4,B,Dr. Priya Sharma,923,Mon-Sat 9:00 AM – 5:00 PM,75,True
DEPT0170,HOSP015,Motherhood Hospital,Pediatrics,Child health & development,2,D,Dr. Kavita Singh,526,Mon-Sat 9:00 AM – 5:00 PM,25,True
DEPT0171,HOSP015,Motherhood Hospital,Orthopedics,"Bone, joint & muscle care",4,D,Dr. Priya Singh,388,Mon-Sat 9:00 AM – 5:00 PM,40,True
DEPT0172,HOSP015,Motherhood Hospital,Rheumatology,Arthritis & autoimmune care,5,D,Dr. Priya Sharma,108,Mon-Sat 9:00 AM – 5:00 PM,77,True
DEPT0173,HOSP015,Motherhood Hospital,Cardiology,Heart & cardiovascular care,4,A,Dr. Anita Iyer,360,Mon-Sat 9:00 AM – 5:00 PM,23,True
DEPT0174,HOSP015,Motherhood Hospital,Dermatology,"Skin, hair & nail care",3,A,Dr. Anita Sharma,129,Mon-Sat 9:00 AM – 5:00 PM,24,True
DEPT0175,HOSP015,Motherhood Hospital,Neurology,Brain & nervous system disorders,6,B,Dr. Rajesh Sharma,821,Mon-Sat 9:00 AM – 5:00 PM,15,True
